From Date,To Date,PM2.5,PM10,NO,NO2,SO2,CO,Ozone,RH,WS,WD,AT
17-03-2021 00:00,17-03-2021 01:00,101.24,429.09,246.44,28.04,8.45,2.14,5.99,53.67,0.55,254.73,28.03
17-03-2021 01:00,17-03-2021 02:00,91.22,394.22,175.6,15.24,7.25,1.64,16.93,69.27,0.82,289.63,27.62
17-03-2021 02:00,17-03-2021 03:00,37.07,167.11,146.64,9.93,4.58,1.34,31.58,75.85,0.82,251.97,27.07
17-03-2021 03:00,17-03-2021 04:00,37.95,129.33,128.77,9.23,6.04,1.23,35.86,71.35,0.67,139.85,26.8
17-03-2021 04:00,17-03-2021 05:00,35.06,144.67,114.89,11.63,5.24,1.09,12.45,59.59,0.42,251.75,26.72
17-03-2021 05:00,17-03-2021 06:00,47.66,184.93,104.39,26.67,3.69,1.01,5.52,56.69,0.3,206.02,26.32
17-03-2021 06:00,17-03-2021 07:00,59.77,211.62,126.19,18.55,4.05,1.06,7.59,57.55,0.52,132.69,26.59
17-03-2021 07:00,17-03-2021 08:00,58.06,233.48,149.51,22.1,5.4,1.28,5.59,61.89,0.33,165.9,26.58
17-03-2021 08:00,17-03-2021 09:00,68.78,250.02,167.09,11.33,6.35,1.42,5.78,56.47,0.48,99.96,28.53
17-03-2021 09:00,17-03-2021 10:00,70.96,284.11,133.88,28.06,3.81,1.24,37.25,42.03,0.58,204.51,31.53
17-03-2021 10:00,17-03-2021 11:00,64.18,253,112.94,32.64,4.01,1.21,69.02,32.7,0.6,213.36,34.61
17-03-2021 11:00,17-03-2021 12:00,49,204,0.53,0.28,9.27,1.3,116.99,29.6,1.19,222.1,35.8
17-03-2021 12:00,17-03-2021 13:00,50,206,105.12,15.03,7.96,1.2,124.11,30.58,0.95,218.07,37.56
17-03-2021 13:00,17-03-2021 14:00,38,186.81,408.14,None,7.49,1.16,60.36,37.97,1.28,274.35,36.89
17-03-2021 14:00,17-03-2021 15:00,46,193.91,None,None,5.79,1.09,47.62,41.64,1.25,269.9,36.37
17-03-2021 15:00,17-03-2021 16:00,43.06,173,None,None,4.13,1.07,67.01,41.28,1.13,290.2,36.17
17-03-2021 16:00,17-03-2021 17:00,44.95,193,None,None,5.48,1.01,92.07,40.63,1.3,301.81,35.03
17-03-2021 17:00,17-03-2021 18:00,44.02,225.45,None,None,4.63,0.94,77.56,39.41,1.17,302.71,34.05
17-03-2021 18:00,17-03-2021 19:00,45,231.6,None,None,4.96,1.06,115.8,43.6,1.14,306.25,32.68
17-03-2021 19:00,17-03-2021 20:00,63.63,255.41,8.51,70.24,6.84,1,96.14,46.97,1.08,299.78,31.62
17-03-2021 20:00,17-03-2021 21:00,63.02,241.41,14.23,67.36,8.89,1.09,44.32,47.34,0.73,197.8,31.07
17-03-2021 21:00,17-03-2021 22:00,58.11,232.67,22.33,60.67,7.62,1.21,23.83,50.34,0.41,186.12,30.07
17-03-2021 22:00,17-03-2021 23:00,66.83,268.22,94.29,33.84,8.57,1.46,4.93,54.21,0.24,166.09,29.11
17-03-2021 23:00,18-03-2021 00:00,90.52,338.3,205.6,55.17,13.09,2.22,5.53,57.81,0.3,219.94,28.67
18-03-2021 00:00,18-03-2021 01:00,133.05,476.17,218.07,58.76,12.22,2.38,4.42,57.85,0.36,213.56,28.31
18-03-2021 01:00,18-03-2021 02:00,91.86,337.4,175.78,27.1,9.99,2.08,7.28,64.56,0.54,216.78,28.09
18-03-2021 02:00,18-03-2021 03:00,47.98,198.98,155.95,7.96,8.89,1.75,24.76,70.67,0.81,243.77,27.83
18-03-2021 03:00,18-03-2021 04:00,29.35,118.56,147.8,9.38,8.38,1.51,31.36,67.58,0.54,144.13,27.45
18-03-2021 04:00,18-03-2021 05:00,28.02,100.94,140.66,5.33,8.32,1.41,17.4,65.12,0.37,204.14,27.14
18-03-2021 05:00,18-03-2021 06:00,37.8,117.67,124.44,22.79,7.55,1.31,22.61,58.3,0.65,175.24,27.41
18-03-2021 06:00,18-03-2021 07:00,31.13,132.82,123.17,17,7.34,1.18,15.34,55.49,0.53,185.88,27.3
18-03-2021 07:00,18-03-2021 08:00,38,150.33,132.67,21.08,7.89,1.17,7.69,54,1.03,211.47,27.69
18-03-2021 08:00,18-03-2021 09:00,48,185.67,132.62,16.62,9.79,1.2,12.32,49.56,1.14,140.54,29.05
18-03-2021 09:00,18-03-2021 10:00,72.52,252.56,130.86,26.01,11.91,1.21,19.53,46.99,0.67,204.08,31.75
18-03-2021 10:00,18-03-2021 11:00,61.23,226.28,116.67,40.87,12.09,1.27,40.74,42.71,0.73,254.12,33.89
18-03-2021 11:00,18-03-2021 12:00,43.48,173.44,None,None,7.84,1.29,53.41,43.08,0.94,242.99,33.8
18-03-2021 12:00,18-03-2021 13:00,35,166.63,None,None,7.23,1.23,40.78,45.82,0.99,264.1,35.34
18-03-2021 13:00,18-03-2021 14:00,35,151.52,None,None,7.59,1.15,53.31,46.71,1.05,275.69,35.48
18-03-2021 14:00,18-03-2021 15:00,27.16,142.78,None,None,2.02,1.04,61.88,45.74,1.17,282.44,35.2
18-03-2021 15:00,18-03-2021 16:00,32.88,167.44,None,None,1.05,0.98,92.72,49.26,1.23,293.14,34.34
18-03-2021 16:00,18-03-2021 17:00,47.71,185.56,None,None,2.99,0.95,76.98,50.88,1.09,295.92,33.77
18-03-2021 17:00,18-03-2021 18:00,39.15,174.34,10.5,39.97,0.99,0.77,67.74,53.14,1.06,305.69,32.03
18-03-2021 18:00,18-03-2021 19:00,46.82,174.95,8.01,35.12,2.45,0.73,40.24,62.63,0.93,293.2,29.68
18-03-2021 19:00,18-03-2021 20:00,47.98,159.7,11.29,32,0.89,0.72,25.18,60.75,0.63,249.62,29.03
18-03-2021 20:00,18-03-2021 21:00,41.13,163.89,16.76,29.11,0.12,0.76,20.12,57.32,0.51,175.73,28.91
18-03-2021 21:00,18-03-2021 22:00,41.98,157.4,29.02,26.45,2.17,0.88,8.04,62.82,0.64,281.31,28.44
18-03-2021 22:00,18-03-2021 23:00,42.98,173.56,39.91,23.59,3.17,0.96,9.97,72.08,0.56,283.63,27.93
18-03-2021 23:00,19-03-2021 00:00,36.13,137.22,48.52,19.55,2.5,0.93,16.44,75.39,0.51,235.08,27.58
19-03-2021 00:00,19-03-2021 01:00,39.92,130.11,53.09,15.5,4.09,0.89,20.55,76.15,0.52,140.72,27.16
19-03-2021 01:00,19-03-2021 02:00,35.1,120.95,60.11,11.48,2.6,0.82,28.03,75.09,0.58,119.2,26.84
19-03-2021 02:00,19-03-2021 03:00,32.06,106.94,63.72,10.06,4.43,0.76,33.9,67.48,0.42,137.79,26.84
19-03-2021 03:00,19-03-2021 04:00,32,126.33,66.8,9.05,4.76,0.73,13.96,66.28,0.3,205.32,26.62
19-03-2021 04:00,19-03-2021 05:00,44.75,165.22,73.14,6.31,4.95,0.68,9.56,68.3,0.25,173.47,26.05
19-03-2021 05:00,19-03-2021 06:00,52.84,201.78,82.94,6.98,5.24,0.7,5.04,70.86,0.37,230.67,25.97
19-03-2021 06:00,19-03-2021 07:00,58.88,225.81,105.22,6.64,5.47,0.79,4.28,72.95,0.34,189.08,25.66
19-03-2021 07:00,19-03-2021 08:00,62.92,243.4,127.23,4.67,5.97,0.93,5.21,69.78,0.47,235.41,26.45
19-03-2021 08:00,19-03-2021 09:00,67.9,266.44,125.28,8.24,5.88,0.98,9.79,58.12,0.65,133.21,28.63
19-03-2021 09:00,19-03-2021 10:00,62.12,238.22,111.99,7.88,3.53,0.97,27.06,47.37,0.75,151.76,30.85
19-03-2021 10:00,19-03-2021 11:00,None,None,91.78,24.02,2.81,0.96,37.59,38.47,0.87,225.13,33.56
19-03-2021 11:00,19-03-2021 12:00,None,None,81.11,26,5.89,1.06,25.04,40.42,1.15,285.08,34.2
19-03-2021 12:00,19-03-2021 13:00,48,222.63,66.59,25.67,7.55,1.1,4.64,49.11,1.06,291.48,34.18
19-03-2021 13:00,19-03-2021 14:00,56.83,210.22,40.77,31.61,7.78,1,None,48.52,1.35,295.19,33.92
19-03-2021 14:00,19-03-2021 15:00,38.42,194.97,27.02,32.88,5.12,0.8,57.78,42.17,1.3,298.94,34.34
19-03-2021 15:00,19-03-2021 16:00,36.04,188.67,25.69,36.23,3.49,0.71,39.9,41.47,1.26,295.43,34.9
19-03-2021 16:00,19-03-2021 17:00,28.13,202.57,26.56,35.84,3.27,0.68,37.91,39.05,1.2,293.2,34.19
19-03-2021 17:00,19-03-2021 18:00,38.78,204.28,27.09,35.66,4.03,0.68,32.52,38.72,1.15,299.86,32.71
19-03-2021 18:00,19-03-2021 19:00,37.04,184.78,28.93,33.77,3.35,0.83,26.47,54.45,0.83,302.19,30.07
19-03-2021 19:00,19-03-2021 20:00,53.66,200.82,33.96,27.63,5.81,0.86,29.71,65.3,0.82,301.75,28.4
19-03-2021 20:00,19-03-2021 21:00,58.89,213.11,39.55,22.57,6.4,0.87,23.3,70.78,0.65,287.98,27.72
19-03-2021 21:00,19-03-2021 22:00,53.16,197.77,46.49,19.97,5.8,0.91,13,72.94,0.6,286.21,27.35
19-03-2021 22:00,19-03-2021 23:00,55.93,196.89,56.55,12.47,5.58,0.93,8.7,74.94,0.56,254.12,27.06
19-03-2021 23:00,20-03-2021 00:00,56,204.23,63.54,12.61,5.77,0.95,7.99,77.07,0.67,164.47,26.67
20-03-2021 00:00,20-03-2021 01:00,56,203.11,71,9.03,5.51,0.93,10.2,78.62,0.54,270.3,26.38
20-03-2021 01:00,20-03-2021 02:00,None,179.89,71.48,7.32,4.42,0.86,16.55,76.28,0.67,310.08,26.25
20-03-2021 02:00,20-03-2021 03:00,47,179.22,70.34,2.71,4.46,0.77,21.31,81.31,0.8,309.61,25.89
20-03-2021 03:00,20-03-2021 04:00,None,177.7,69.03,2.08,4.22,0.68,21.35,83.43,0.78,301.72,25.65
