,PM2.5,PM10,NO,NO2,SO2,CO,Ozone,RH,WS,WD,AT,Date
0,137.96,272.0,7.97,129.99,73.27,1.8821281856303231,3.47,44.77,0.82,236.97,25.74,17-03-2021 00:00
1,111.31,272.0,7.97,94.08666666666667,67.16199999999999,1.8821281856303231,3.5660000000000003,50.27333333333333,0.8466666666666667,219.32333333333332,25.523333333333333,17-03-2021 01:00
2,49.0,272.0,7.97,58.18333333333334,61.053999999999995,1.496,3.6620000000000004,55.77666666666667,0.8733333333333333,201.67666666666668,25.306666666666665,17-03-2021 02:00
3,32.83,272.0,7.97,22.28,54.946,1.084,3.758,61.28,0.9,184.03,25.09,17-03-2021 03:00
4,50.19,272.0,17.54,42.045,48.837999999999994,0.6720000000000002,3.854,60.695,0.815,151.75,24.715,17-03-2021 04:00
5,44.64,272.0,27.11,61.81,42.73,0.26,3.95,60.11,0.73,119.47,24.34,17-03-2021 05:00
6,50.14,272.0,54.865,64.93,44.095555555555556,0.2688888888888889,10.674444444444443,61.3,1.04,117.445,23.93,17-03-2021 06:00
7,53.33,272.0,82.62,68.05,45.46111111111111,0.2777777777777778,17.398888888888887,62.49,1.35,115.42,23.52,17-03-2021 07:00
8,80.34,272.0,72.57000000000001,69.98285714285714,46.82666666666667,0.2866666666666667,24.12333333333333,59.61857142857143,1.4585714285714286,135.13857142857142,24.964285714285715,17-03-2021 08:00
9,97.23,272.0,62.52,71.91571428571429,48.19222222222222,0.29555555555555557,30.847777777777775,56.74714285714286,1.5671428571428572,154.85714285714286,26.408571428571427,17-03-2021 09:00
10,76.5,272.0,52.47,73.84857142857143,49.55777777777778,0.30444444444444446,37.57222222222222,53.87571428571429,1.6757142857142857,174.5757142857143,27.852857142857143,17-03-2021 10:00
11,93.0,272.0,42.42,75.78142857142856,50.92333333333333,0.31333333333333335,44.29666666666667,51.004285714285714,1.7842857142857143,194.2942857142857,29.29714285714286,17-03-2021 11:00
12,73.0,272.0,32.370000000000005,77.71428571428571,52.28888888888889,0.32222222222222224,51.02111111111111,48.13285714285715,1.8928571428571428,214.01285714285711,30.74142857142857,17-03-2021 12:00
13,50.66,272.0,22.32,79.64714285714285,53.65444444444445,0.33111111111111113,57.745555555555555,45.261428571428574,2.0014285714285713,233.73142857142858,32.18571428571428,17-03-2021 13:00
14,61.0,272.0,12.27,81.58,55.02,0.34,64.47,42.39,2.11,253.45,33.63,17-03-2021 14:00
15,66.0,272.0,11.74,67.05,57.55,0.24,93.36,39.83,2.34,265.19,32.78,17-03-2021 15:00
16,65.49,272.0,10.165,68.74000000000001,57.485,0.245,86.4,38.97,2.3449999999999998,273.855,32.255,17-03-2021 16:00
17,60.0,272.0,8.59,70.43,57.42,0.25,79.44,38.11,2.35,282.52,31.73,17-03-2021 17:00
18,55.48,272.0,3.92,64.75,52.98,0.32,130.53,43.01,2.31,291.53,30.16,17-03-2021 18:00
19,65.0,272.0,3.29,57.61,51.36,0.34,108.99166666666667,45.06,2.27,289.5,29.71,17-03-2021 19:00
20,70.0,272.0,49.238,77.25,52.868,0.634,87.45333333333335,48.230000000000004,1.944,280.186,28.996000000000002,17-03-2021 20:00
21,83.0,272.0,95.186,96.89,54.376,0.9279999999999999,65.915,51.4,1.618,270.872,28.282,17-03-2021 21:00
22,96.0,272.0,141.134,116.53,55.884,1.222,44.37666666666668,54.57,1.2920000000000003,261.558,27.568,17-03-2021 22:00
23,109.0,272.0,177.49328268900854,132.07323967123816,57.391999999999996,1.516,22.838333333333352,57.739999999999995,0.9660000000000002,252.244,26.854,17-03-2021 23:00
24,109.31,272.0,177.49328268900854,132.07323967123816,58.9,1.81,1.3,60.91,0.64,242.93,26.14,18-03-2021 00:00
25,110.52,272.0,14.45,73.52,49.25,0.72,11.73,64.71,1.89,294.27,26.19,18-03-2021 01:00
26,64.77,272.0,12.724,64.25999999999999,48.16,0.618,16.57,61.489999999999995,1.714,291.9,26.16,18-03-2021 02:00
27,39.44,272.0,10.998,55.0,47.07,0.516,21.41,58.269999999999996,1.5379999999999998,289.53,26.13,18-03-2021 03:00
28,33.0,272.0,9.272,45.739999999999995,45.98,0.4139999999999999,26.25,55.05,1.3619999999999999,287.16,26.1,18-03-2021 04:00
29,27.12,272.0,7.546,36.48,44.89,0.31199999999999994,31.09,51.83,1.186,284.79,26.07,18-03-2021 05:00
30,28.0,272.0,5.82,27.22,43.8,0.21,35.93,48.61,1.01,282.42,26.04,18-03-2021 06:00
31,34.0,272.0,42.309999999999995,55.73,47.379999999999995,0.485,20.165,51.525,1.0550000000000002,208.16000000000003,25.77,18-03-2021 07:00
32,62.78,272.0,78.8,84.24,50.96,0.76,4.4,54.44,1.1,133.9,25.5,18-03-2021 08:00
33,89.0,272.0,64.70333333333333,91.57666666666667,51.60666666666667,0.6733333333333333,13.013333333333332,51.64333333333333,1.34,173.15,27.473333333333333,18-03-2021 09:00
